Keywords	Date and Time	Source	Event ID	Task Category
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Read Credential

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:17:31 PM	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		ROBERTS_LAPTOP
	Logon ID:		0x3E341
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	4/16/2026 11:16:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:16:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		Roberts_Laptop\Administrator
	Account Name:		Administrator
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:16:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:16:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		Roberts_Laptop\Administrator
	Account Name:		Administrator
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:30 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:30 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		Roberts_Laptop\Administrator
	Account Name:		Administrator
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:30 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:30 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		Roberts_Laptop\Administrator
	Account Name:		Administrator
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		Roberts_Laptop\Administrator
	Account Name:		Administrator
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:14:00 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		Roberts_Laptop\Administrator
	Account Name:		Administrator
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:13:27 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ROBERTS_LAPTOP\bradf
	Account Name:		bradf
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success	4/16/2026 11:13:27 PM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ROBERTS_LAPTOP$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		Roberts_Laptop\Administrator
	Account Name:		Administrator
	Account Domain:		Roberts_Laptop

Process Information:
	Process ID:		0x2db0
	Process Name:		C:\Windows\System32\svchost.exe"
